t = 0, Hom0 = 5
t = 1, Hom0 = 5
t = 2, Hom0 = 5
t = 3, Hom0 = 5
t = 4, Hom0 = 2
t = 5, Hom0 = 1
t = 6, Hom0 = 1
t = 7, Hom0 = 1
t = 8, Hom0 = 1
